"","Address","nearest_supermarket","dist_to_nearest_supermarket","supermarket_1km"
"29","557 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.432954777211156","3"
"30","302 ANG MO KIO AVE 3","316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316","0.354456436779903","7"
"31","575 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.259583486146006","5"
"32","509 ANG MO KIO AVE 8","712 ANG MO KIO AVENUE 6 SINGAPORE 560712","0.445796692348923","5"
"33","472 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.62520746830799","3"
"34","475 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.497751050113534","3"
"35","629 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 SINGAPORE 560161","0.668142702894831","1"
"36","546 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.35759980886153","2"
"37","131 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.201716036275044","7"
"38","254 ANG MO KIO AVE 4","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.373488846042159","5"
"39","470 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.438812836443397","4"
"40","463 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.532360724647547","4"
"41","207 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215","0.138275584125381","8"
"42","304 ANG MO KIO AVE 1","316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316","0.351133349464608","7"
"43","646 ANG MO KIO AVE 6","161 ANG MO KIO AVENUE 4 SINGAPORE 560161","0.747682210115302","2"
"44","328 ANG MO KIO AVE 3","316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316","0.222811908423491","7"
"45","588C ANG MO KIO ST 52","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.0948257124763939","5"
"46","588D ANG MO KIO ST 52","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.0976992204717238","5"
"47","101 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.428117384085518","5"
"48","430 ANG MO KIO AVE 3","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.402364399856872","5"
"49","520 ANG MO KIO AVE 5","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.328000508732864","6"
"50","716 ANG MO KIO AVE 6","712 ANG MO KIO AVENUE 6 SINGAPORE 560712","0.135498870359128","7"
"51","588A ANG MO KIO ST 52","525 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560525","0.145951021001689","5"
"52","310A ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215","0.294480048407163","7"
"53","613 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 SINGAPORE 560161","0.47865264679714","1"
"54","101 BEDOK NTH AVE 4","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.239749256864128","5"
"55","548 BEDOK NTH AVE 1","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.19368942721037","10"
"56","75 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.412685991921354","6"
"57","550 BEDOK NTH AVE 1","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.128289179000419","8"
"58","1 BEDOK STH AVE 1","18 BEDOK SOUTH ROAD SINGAPORE 460018","0.115548713262121","5"
"59","151 BEDOK RESERVOIR RD","39 KAKI BUKIT AVENUE 3 DBS 5 STAR DORMITORY SINGAPORE 415920","0.331463505703097","5"
"60","54 CHAI CHEE ST","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.587794047830362","6"
"61","50 CHAI CHEE ST","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.48688144032417","8"
"62","105 BEDOK RESERVOIR RD","110 LENGKONG TIGA SINGAPORE 410110","0.641215608087978","5"
"63","528 BEDOK NTH ST 3","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.380726524104634","5"
"64","534 BEDOK NTH ST 3","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.104057911600728","6"
"65","77 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.496957129800666","6"
"66","116 BEDOK RESERVOIR RD","632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632","0.622771419200205","7"
"67","18 BEDOK STH RD","1D FIGARO STREET OPERA ESTATE SINGAPORE 458322","0.442069759950619","9"
"68","40 CHAI CHEE AVE","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.275623529639947","8"
"69","57 NEW UPP CHANGI RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0","5"
"70","105 BEDOK NTH AVE 4","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.23023078009684","4"
"71","709 BEDOK RESERVOIR RD","745 BEDOK RESERVOIR ROAD DBS NTUC BEDOK RESERVOIR ROAD SINGAPORE 470745","0.231736900850136","5"
"72","42 CHAI CHEE ST","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.392229916382537","8"
"73","55 CHAI CHEE DR","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.639647005377575","6"
"74","2 BEDOK STH AVE 1","18 BEDOK SOUTH ROAD SINGAPORE 460018","0.176513753664995","5"
"75","37 CHAI CHEE AVE","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.218107294175441","7"
"76","425 BEDOK NTH RD","510 BEDOK NORTH STREET 3 SINGAPORE 460510","0.377763796252604","9"
"77","117 BEDOK NTH RD","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.193477190112376","8"
"78","423 BEDOK NTH AVE 1","311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360","0.40680906149677","8"
"79","533 BEDOK NTH ST 3","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.193612530330504","6"
"80","149 BEDOK RESERVOIR RD","631 BEDOK RESERVOIR ROAD OCBC BEDOK RESERVOIR RD - 7 ELEVEN SINGAPORE 470631","0.394705463208376","4"
"81","35 BEDOK STH AVE 2","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.293350443548352","3"
"82","42 BEDOK STH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.322942267561588","2"
"83","34 BEDOK STH AVE 2","18 BEDOK SOUTH ROAD SINGAPORE 460018","0.433291970722612","4"
"84","7 BEDOK STH AVE 2","18 BEDOK SOUTH ROAD SINGAPORE 460018","0.256697558230005","6"
"85","8 BEDOK STH AVE 2","18 BEDOK SOUTH ROAD SINGAPORE 460018","0.286760283866831","6"
"86","80 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.482781227928514","6"
"87","78 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.344390173204514","6"
"88","135 BEDOK RESERVOIR RD","632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632","0.217467109962734","4"
"89","148 BEDOK RESERVOIR RD","39 KAKI BUKIT AVENUE 3 DBS 5 STAR DORMITORY SINGAPORE 415920","0.37547241235468","5"
"90","81 BEDOK NTH RD","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.469982828434355","6"
"91","142 BEDOK RESERVOIR RD","631 BEDOK RESERVOIR ROAD OCBC BEDOK RESERVOIR RD - 7 ELEVEN SINGAPORE 470631","0.351425507908958","5"
"92","124 BEDOK NTH RD","115 BEDOK NORTH ROAD PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 115 (CC) SINGAPORE 460115","0.342826669398093","8"
"93","705 BEDOK NTH RD","745 BEDOK RESERVOIR ROAD DBS NTUC BEDOK RESERVOIR ROAD SINGAPORE 470745","0.322232674854248","5"
"94","554 BEDOK NTH ST 3","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.298265415904054","10"
"95","602 BEDOK RESERVOIR RD","632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632","0.414432498773429","4"
"96","508 BEDOK NTH AVE 3","509 BEDOK NORTH STREET 3 SINGAPORE 460509","0.141826460296035","7"
"97","720 BEDOK RESERVOIR RD","739A BEDOK RESERVOIR ROAD RESERVOIR VILLAGE SINGAPORE 471739","0.307727375040549","5"
"98","765 BEDOK RESERVOIR VIEW","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.464307580545747","4"
"99","10 CHAI CHEE RD","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.284127648746602","8"
"100","185 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.236010951136018","6"
"101","111 LENGKONG TIGA","110 LENGKONG TIGA SINGAPORE 410110","0.0674201548468371","3"
"102","220B BEDOK CTRL","212 BEDOK NORTH STREET 1 DBS NTUC BEDOK NORTH STREET 1 SINGAPORE 460212","0.30329289671105","9"
"103","603 BEDOK RESERVOIR RD","632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632","0.295012464210324","4"
"104","21 CHAI CHEE RD","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.244385427747587","5"
"105","672 JLN DAMAI","632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632","0.599632715837132","7"
"106","415 BEDOK NTH AVE 2","510 BEDOK NORTH STREET 3 SINGAPORE 460510","0.289036059882057","10"
"107","763 BEDOK RESERVOIR VIEW","509 BEDOK NORTH STREET 3 SINGAPORE 460509","0.511309267881796","4"
"108","805 CHAI CHEE RD","25A CHAI CHEE ROAD UOB CHAI CHEE ROAD SINGAPORE 461025","0.303056723525337","4"
"109","723 BEDOK RESERVOIR RD","509 BEDOK NORTH STREET 3 SINGAPORE 460509","0.492685540700891","5"
"110","722 BEDOK RESERVOIR RD","509 BEDOK NORTH STREET 3 SINGAPORE 460509","0.514052721507687","5"
"111","219C BEDOK CTRL","212 BEDOK NORTH STREET 1 DBS NTUC BEDOK NORTH STREET 1 SINGAPORE 460212","0.237150441217746","9"
"112","640 BEDOK RESERVOIR RD","306 UBI AVENUE 1 BAO TA STUDENT CARE CENTRE (PTE) LTD SINGAPORE 400306","0.418083075996353","4"
"113","160 BEDOK STH AVE 3","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.68711253069499","1"
"114","94C BEDOK NTH AVE 4","430 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487048","0.447212718884916","5"
"115","22 SIN MING RD","279 BISHAN STREET 24 DBS NTUC BISHAN STREET 24 SINGAPORE 570279","0.488938239654689","3"
"116","407 SIN MING AVE","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.5356611421944","2"
"117","105 BISHAN ST 12","116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116","0.303550562515605","5"
"118","167 BISHAN ST 13","512 BISHAN STREET 13 SINGAPORE 570512","0.639567056819193","6"
"119","111 BISHAN ST 12","116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116","0.16151934267713","5"
"120","181 BISHAN ST 13","512 BISHAN STREET 13 SINGAPORE 570512","0.33839005672722","5"
"121","166 BISHAN ST 13","512 BISHAN STREET 13 SINGAPORE 570512","0.600705044867889","5"
"122","109 BISHAN ST 12","116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116","0.188253353861873","5"
"123","115 BISHAN ST 12","116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116","0.0643327273386897","4"
"124","260 BISHAN ST 22","279 BISHAN STREET 24 DBS NTUC BISHAN STREET 24 SINGAPORE 570279","0.314353568207949","3"
"125","275A BISHAN ST 24","279 BISHAN STREET 24 DBS NTUC BISHAN STREET 24 SINGAPORE 570279","0.0685233483277376","4"
"126","214 BISHAN ST 23","279 BISHAN STREET 24 DBS NTUC BISHAN STREET 24 SINGAPORE 570279","0.502892696751992","5"
"127","182 BISHAN ST 13","512 BISHAN STREET 13 SINGAPORE 570512","0.358440766432302","4"
"128","448 BRIGHT HILL DR","301 UPPER THOMSON ROAD DBS THOMSON BRANCH SINGAPORE 574408","0.405999280193662","2"
"129","402 SIN MING AVE","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.69248693473077","2"
"130","128 BISHAN ST 12","116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116","0.229646772886586","6"
"131","303 SHUNFU RD","200 UPPER THOMSON ROAD THOMSON IMPERIAL COURT SINGAPORE 574424","0.355088808246789","1"
"132","231 BISHAN ST 23","279 BISHAN STREET 24 DBS NTUC BISHAN STREET 24 SINGAPORE 570279","0.228761476474378","4"
"133","134 BISHAN ST 12","116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116","0.406650749682512","6"
"134","342 BT BATOK ST 34","395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","0.399188419567376","4"
"135","530 BT BATOK ST 51","376 BUKIT BATOK STREET 31 SINGAPORE 650376","0.291307309806057","5"
"136","145 BT BATOK ST 11","159 BUKIT BATOK STREET 11 SINGAPORE 650159","0.192348337009884","5"
"137","528 BT BATOK ST 51","376 BUKIT BATOK STREET 31 SINGAPORE 650376","0.250379819757631","5"
"138","537 BT BATOK ST 52","376 BUKIT BATOK STREET 31 SINGAPORE 650376","0.384592280213613","5"
"139","213 BT BATOK ST 21","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.410163414031767","6"
"140","219 BT BATOK ST 21","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.243729660066494","4"
"141","235 BT BATOK EAST AVE 5","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.134645651349411","4"
"142","130 BT BATOK WEST AVE 6","1 BUKIT BATOK CENTRAL LINK BUKIT BATOK CENTRAL POST OFFICE SINGAPORE 658713","0.390090454028365","6"
"143","212 BT BATOK ST 21","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.362607032602507","6"
"144","346 BT BATOK ST 34","395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","0.220753916961128","4"
"145","226 BT BATOK CTRL","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.427329218886272","4"
"146","247 BT BATOK EAST AVE 5","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.257265573823804","4"
"147","169 BT BATOK WEST AVE 8","166 BUKIT BATOK WEST AVENUE 8 DBS NTUC BUKIT BATOK EAST AVENUE 8 SINGAPORE 650166","0.220140202897895","5"
"148","154 BT BATOK ST 11","154A BUKIT BATOK WEST AVENUE 8 OCBC BUKIT BATOK WEST AVE 8 SINGAPORE 651154","0.0496138566703592","5"
"149","260 BT BATOK EAST AVE 4","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.421312067792827","2"
"150","360 BT BATOK ST 31","373 BUKIT BATOK STREET 31 LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD SINGAPORE 650373","0.237834154619062","4"
"151","217 BT BATOK ST 21","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.279878273353914","5"
"152","178 BT BATOK WEST AVE 8","166 BUKIT BATOK WEST AVENUE 8 DBS NTUC BUKIT BATOK EAST AVENUE 8 SINGAPORE 650166","0.125347533929838","5"
"153","265 BT BATOK EAST AVE 4","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.402108777739084","2"
"154","134 BT BATOK WEST AVE 6","159 BUKIT BATOK STREET 11 SINGAPORE 650159","0.390965630477687","6"
"155","301 BT BATOK ST 31","376 BUKIT BATOK STREET 31 SINGAPORE 650376","0.192869030868715","5"
"156","289E BT BATOK ST 25","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.353094566514747","4"
"157","244 BT BATOK EAST AVE 5","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.173974494765769","4"
"158","248 BT BATOK EAST AVE 5","280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280","0.299696986053038","4"
"159","290D BT BATOK EAST AVE 3","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.256170545992521","4"
"160","395 BT BATOK WEST AVE 5","395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","0.268356610061743","4"
"161","642 BT BATOK CTRL","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.266038992077118","5"
"162","185 BT BATOK WEST AVE 6","154A BUKIT BATOK WEST AVENUE 8 OCBC BUKIT BATOK WEST AVE 8 SINGAPORE 651154","0.139921471839761","5"
"163","106 BT BATOK CTRL","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.244940329297565","5"
"164","210 BT BATOK ST 21","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.366235226504394","8"
"165","386 BT BATOK WEST AVE 5","395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","0.0734534610485035","4"
"166","394 BT BATOK WEST AVE 5","395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","0.290341267995537","4"
"167","190 BT BATOK WEST AVE 6","154A BUKIT BATOK WEST AVENUE 8 OCBC BUKIT BATOK WEST AVE 8 SINGAPORE 651154","0.342872085414277","5"
"168","206 BT BATOK ST 21","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.227032972910062","7"
"169","211 BT BATOK ST 21","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.320368506052232","8"
"170","391 BT BATOK WEST AVE 5","395A BUKIT BATOK WEST AVENUE 5 PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK 395A (CC) SINGAPORE 651395","0.23249515916558","4"
"171","205 BT BATOK ST 21","10 BUKIT BATOK CENTRAL DBS BUKIT BATOK MRT STATION SINGAPORE 659958","0.185843612587133","7"
"172","193 BT BATOK WEST AVE 6","154A BUKIT BATOK WEST AVENUE 8 OCBC BUKIT BATOK WEST AVE 8 SINGAPORE 651154","0.173139472846242","5"
"173","624 BT BATOK CTRL","1 BUKIT BATOK CENTRAL LINK BUKIT BATOK CENTRAL POST OFFICE SINGAPORE 658713","0.162445697258156","8"
"174","290A BT BATOK ST 24","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.390981647940286","5"
"175","141 BT BATOK ST 11","159 BUKIT BATOK STREET 11 SINGAPORE 650159","0.215179863842195","5"
"176","120 BT BATOK CTRL","1 BUKIT BATOK CENTRAL LINK BUKIT BATOK CENTRAL POST OFFICE SINGAPORE 658713","0.205997932515839","7"
"177","289A BT BATOK ST 25","284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284","0.439851316455055","2"
"178","10 JLN BT HO SWEE","55 TIONG BAHRU ROAD TIONG BAHRU ESTATE SINGAPORE 160055","0.375826379961713","12"
"179","2 JLN BT HO SWEE","18 KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169252","0.396950612683506","11"
"180","45 TELOK BLANGAH DR","78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078","0.193878334165233","2"
"181","36 BEO CRES","50 HAVELOCK ROAD DBS NTUC HAVELOCK ROAD SINGAPORE 160050","0.158936049486423","11"
"182","20 TELOK BLANGAH CRES","8 TELOK BLANGAH CRESCENT SINGAPORE 090008","0.292581336393236","3"
"183","16 TAMAN HO SWEE","18 KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169252","0.438259091811827","11"
"184","32 TELOK BLANGAH RISE","8 TELOK BLANGAH CRESCENT SINGAPORE 090008","0.579962965391517","3"
"185","33 TELOK BLANGAH WAY","8 TELOK BLANGAH CRESCENT SINGAPORE 090008","0.536759249869605","1"
"186","142 JLN BT MERAH","26 JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 161026","0.683543860085576","3"
"187","131 JLN BT MERAH","26 JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 161026","0.395846473180343","6"
"188","30 JLN KLINIK","302 TIONG BAHRU ROAD DBS POSB TIONG BAHRU PLAZA SINGAPORE 168732","0.16568875931874","11"
"189","63 TELOK BLANGAH HTS","78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078","0.275460762753693","3"
"190","61 TELOK BLANGAH HTS","78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078","0.428661932451052","3"
"191","116 BT MERAH VIEW","86 REDHILL CLOSE SINGAPORE 150086","0.375143782742216","8"
"192","44 TELOK BLANGAH DR","78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078","0.290841225618636","1"
"193","24 BEO CRES","50 HAVELOCK ROAD DBS NTUC HAVELOCK ROAD SINGAPORE 160050","0.230192323146108","11"
"194","78 INDUS RD","50 HAVELOCK ROAD DBS NTUC HAVELOCK ROAD SINGAPORE 160050","0.18581526560787","8"
"195","55 TELOK BLANGAH DR","78A TELOK BLANGAH STREET 32 PCF SPARKLETOTS PRESCHOOL @ TELOK BLANGAH BLK 78A (KN) SINGAPORE 101078","0.363508932610867","3"
"196","130 BT MERAH VIEW","26 JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 161026","0.257212368394934","8"
